dogadjaj_id,predmet,tip,nastavnik,smjerovi,ciklus,semestar,godina,grupa,broj_studenata,ucionica_id,dan,pocetak,kraj,trajanje_sati
D0073,Kombinatorika,AV,Adisa Bolić,Kompjuterske nauke | Nastavnički smjer (matematika i informatika) | Opći smjer | Primijenjena matematika,Bachelor,4,II godina,G1,58,419,PETAK,08:00,10:00,2
D0042,Dinamički web sistemi,LV,Skopljaković Selma,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,6,III godina,G1,26,441,PETAK,08:00,10:00,2
D0235,Web programiranje,LV,Skopljaković Selma,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,5,III godina,G1,26,441,CETVRTAK,08:00,10:00,2
D0099,Mašinsko učenje,LV,Adisa Bolić,Kompjuterske nauke | Primijenjena matematika,Bachelor,6,III godina,G1,25,RC,CETVRTAK,08:00,10:00,2
D0119,Metodička praksa iz matematike u srednjoj školi II,LV,Daniela Zubović,Nastavnički smjer (matematika),Master,2,I godina,G1,11,426,CETVRTAK,08:00,11:00,3
D0113,Metodička praksa iz informatike u srednjoj školi,LV,Daniela Zubović,Nastavnički smjer (matematika i informatika),Master,2,I godina,G1,8,426,PONEDJELJAK,08:00,11:00,3
D0182,Računarske mreže,P,Esmir Pilav,Kompjuterske nauke | Nastavnički smjer (matematika i informatika),Bachelor,4,II godina,G1,47,VRC,UTORAK,17:00,19:00,2
D0075,Komparativna analiza programskih jezika,LV,Adisa Bolić,Kompjuterske nauke,Bachelor,6,III godina,G1,20,426,PETAK,10:00,12:00,2
D0225,Uvod u kompjutersku geometriju,LV,Adisa Bolić,Kompjuterske nauke,Bachelor,6,III godina,G1,20,426,UTORAK,17:00,19:00,2
D0028,Analiza i sinteza algoritama,LV,Admir Beširević,Kompjuterske nauke,Bachelor,5,III godina,G1,20,426,SRIJEDA,12:00,14:00,2
D0177,Razvoj softvera,LV,Vedad Letić,Kompjuterske nauke,Bachelor,5,III godina,G1,20,426,SRIJEDA,08:00,10:00,2
D0003,Algebarski računarski paketi,LV,Emin Bešo,Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Bachelor,3,II godina,G1,20,426,CETVRTAK,14:00,16:00,2
D0117,Metodička praksa iz matematike u srednjoj školi,LV,Daniela Zubović,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika),Master,1,I godina,G1,19,426,UTORAK,08:00,10:00,2
